SHORT Q,LONG Q,UNITS,SCALE,MINVAL,MAXVAL,REALIZATION,QUEST_TYPE
Q1_s,"Elevation of Cotopaxi",m,uni,0,inf,5023,seed
Q2_s,"Inhabitants around Guagua Pichincha",n,uni,0,inf,2064775,seed
Q3_s,"Percentage of VEI 4 eruptions for Cotopaxi",%,uni,0,100,88.24,seed
Q4_s,"Mean surface of 10 cm isopach for Pichincha fallout",km2,log,0,inf,837,seed
Q5_s,"Relative uncertainty for eruption duration estimation Layers 3-5",%,uni,0,100,27.51,seed
Q6_s,"Total SO2 production Tungurahua 2006",ktons,log,0,inf,12,seed
Q7_s,"Mean elongation direction of isopach deposits at Cotopaxi",degrees,uni,0,inf,268,seed
Q8_s,"Percentage of andesitic eruptions at Cotopaxi",%,uni,0,100,40,seed
Q9_s,"Average amount of ash in layer BF2 of 2450 BP eruption of Pululahua",wt%,uni,0,inf,58.19,seed
Q10_s,"Total volume of lava flow at Reventador",m3,log,0,inf,36000000,seed
Q11_s,"Mean difference between terminal fall velocity estimations",%,uni,0,100,91,seed
Q12_s,"Mean content of Na2O+K2O at Pichincha",wt%,uni,0,100,5.69,seed
Q13_s,"Mean difference between min and max plume height Tungurahua 2006",m,uni,0,inf,2980,seed
Q15_s,"Mean value of connected porosity at Pichincha",%,uni,0,100,51,seed
Q3_ST_tgp,"Probability next eruption at GP being Plinian",%,uni,0,100,,target
Q11_tgp,"Mean duration Plinian",min,log,0,inf,,target
Q12_tgp,"Total mass fallout Plinian",kg,log,0,inf,,target
Q13_tgp,"Average plume Height Plinian",m,log,0,inf,,target
